"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"flambeau_mmq_q4_1_4warp_lds_q8_1",2112,4380327623,2074018.760890,26.64,430240,3674397,2277058.893297
"flambeau_mmvq_q4_1_gate_up_dp4a_q8_1",16128,1701106052,105475.325645,10.35,92640,280000,24836.529195
"flambeau_mmvq_q4_1_t128_q8_1",56448,1648895688,29210.878827,10.03,5280,133440,15506.716096
"flambeau_attention_decode_f16_splitk_chunk",4032,1349607165,334723.999256,8.21,309760,406080,22300.504254
"flambeau_mmvq_q5_k_r2_q8_1",12096,1344262199,111132.787616,8.18,98560,202240,16035.821766
"flambeau_mmq_q5_K_wave64_q8_1",288,865316053,3004569.628472,5.26,1635201,3803837,812311.240176
"flambeau_p2p_allreduce_residual_tp2",16896,864087373,51141.534860,5.26,4640,1403200,215027.047364
"flambeau_gdn_state_step_alphabeta_f32_s128",12384,713651724,57626.915698,4.34,9920,2573601,306771.421240
"flambeau_quantize_row_f16_q8_1",37536,461870105,12304.723599,2.81,2400,501760,49996.164203
"flambeau_rmsnorm_q8_1_fused",16257,432930441,26630.401735,2.63,22880,52000,2801.362663
"flambeau_mmq_q8_0_wave64_tile16_q8_1",576,409735707,711346.713542,2.49,491840,854079,96496.486162
"flambeau_p2p_allreduce_residual_rmsnorm_tp2",16128,351016825,21764.436074,2.13,19200,48320,2593.424614
"flambeau_attention_prefill_flash_tile_d256_br8_f16",96,315805297,3289638.510417,1.92,1494880,4588476,1250047.156229
"flambeau_cast_f32_f16",45408,243241935,5356.807941,1.48,1760,163520,14884.040304
"flambeau_mmvq_q6_k_dp4a_q8_1",129,239113221,1853590.860465,1.45,1729921,1995201,58765.289067
"__amd_rocclr_copyBuffer",32214,127008632,3942.653256,0.7725,1760,61760,2328.584123
"flambeau_swiglu_f32_to_f16",16512,123372153,7471.666243,0.7504,2560,198240,22371.923802
"flambeau_mmvq_q8_0_gate_up_t128_vdr2_q8_1",12096,113430264,9377.501984,0.6899,7680,32960,1551.856876
"flambeau_l2_norm_f32",24768,101475854,4097.054829,0.6172,2560,34560,2276.560700
"flambeau_rmsnorm_f32",12384,82614078,6671.033430,0.5025,2880,185120,19376.871607
"flambeau_quantize_f16_q8_1_mmq",1248,80372015,64400.653045,0.4888,20960,131040,28875.728011
"flambeau_rmsnorm_f16",9024,71617120,7936.294326,0.4356,2880,68000,12781.982162
"flambeau_causal_conv1d_f32",12384,60531524,4887.881460,0.3682,2400,75360,5525.887477
"flambeau_silu_f32",12384,57042731,4606.163679,0.3470,1760,69120,4783.238712
"flambeau_gdn_assemble_conv_input_f32",12096,49471682,4089.920800,0.3009,2080,22720,718.387146
"flambeau_scale_f32",12384,44168641,3566.589228,0.2686,1600,24160,1403.014915
"flambeau_swiglu_f32_to_q8_1",12096,43719214,3614.353009,0.2659,2559,20160,856.227390
"flambeau_quantize_row_q8_1",288,37960644,131807.791667,0.2309,66560,181120,38058.685561
"flambeau_rope_neox_partial_f16",8256,31271198,3787.693556,0.1902,2560,29280,2206.960387
"flambeau_sigmoid_mul_f16",4128,26251515,6359.378634,0.1597,3520,133440,15469.644956
"flambeau_split_q_gate_f16",4128,21497602,5207.752422,0.1308,2080,72640,8353.191755
"flambeau_attention_decode_f16_splitk_combine",4032,20382079,5055.079117,0.1240,4320,19840,481.670753
"flambeau_quantize_q8_1_mmq",288,10137603,35200.010417,0.0617,18560,52800,9626.388645
"flambeau_gdn_split_qkv_f32",288,10075040,34982.777778,0.0613,21280,70080,9146.081970
"flambeau_swiglu_f32",288,7788160,27042.222222,0.0474,17280,84320,7160.705672
