"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"flambeau_attention_decode_f16_splitk_chunk",2520,920250309,365178.694048,13.84,334240,379520,9691.662311
"flambeau_gdn_state_step_alphabeta_f32_s128",7740,652743688,84333.809819,9.81,45600,1760161,211034.778456
"flambeau_indexed_moe_mmvq_q4_0_q8_1",8820,518234134,58756.704535,7.79,50400,96320,2544.405030
"flambeau_indexed_moe_mmq_q4_0_gate_up_tile8_dp4a_q8_1",240,340538586,1418910.775000,5.12,974080,1837601,214661.267140
"flambeau_mmvq_q4_0_gate_up_dp4a_q8_1",7560,258381257,34177.414947,3.88,28800,92000,3962.514568
"flambeau_mmq_q8_0_wave64_tile16_q8_1",924,255306881,276306.148268,3.84,48000,700480,128502.011163
"flambeau_mmq_q4_0_4warp_lds_q8_1",546,255246233,467483.943223,3.84,193600,890241,202669.664153
"flambeau_moe_sort_scatter_det",240,248286258,1034526.075000,3.73,563360,1339518,257603.650862
"flambeau_p2p_allreduce_residual_tp2",10560,241706742,22888.896023,3.63,3680,561121,86197.307608
"flambeau_topk_softmax_f32",10320,177741121,17222.976841,2.67,12800,39200,2525.781776
"flambeau_quantize_row_f16_q8_1",23940,172520951,7206.388931,2.59,2240,110080,16069.947836
"flambeau_cast_f32_f16",38700,169576965,4381.833721,2.55,1760,131840,8248.991398
"flambeau_indexed_moe_mmvq_q4_0_gate_up_dp4a_q8_1",10080,158205939,15695.033631,2.38,13120,70240,2601.318453
"flambeau_rmsnorm_q8_1_fused",10209,150757612,14767.128220,2.27,11520,37120,1616.617043
"flambeau_attention_prefill_flash_tile_d256_br8_f16",60,137238404,2287306.733333,2.06,980801,3358401,854502.594086
"flambeau_p2p_allreduce_residual_rmsnorm_tp2",10080,134337295,13327.112599,2.02,10880,36480,1623.096840
"flambeau_dense_gemv_f16_f16_batched",240,126038577,525160.737500,1.89,287840,682080,130533.272156
"flambeau_indexed_moe_mmq_q4_0_down_tile8_dp4a_q8_1",210,124600964,593337.923810,1.87,385760,745440,120050.578255
"flambeau_mmvq_q6_k_dp4a_q8_1",1389,114721163,82592.629950,1.72,15680,792800,202123.981935
"flambeau_swiglu_f32_to_q8_1",27720,114149444,4117.945310,1.72,2400,24000,945.841632
"flambeau_mmvq_q8_0_t128_vdr2_q8_1",13608,109356343,8036.180409,1.64,3360,43360,4459.200016
"flambeau_mmvq_q5_0_q8_1",15120,98129922,6490.074206,1.48,3520,31680,2770.235238
