"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"flambeau_attention_decode_f16_splitk_chunk",3024,1088997003,360118.056548,11.59,330080,471200,13753.048865
"flambeau_gdn_state_step_alphabeta_f32_s128",9288,768435829,82734.262382,8.18,44480,1743358,207770.884950
"flambeau_indexed_moe_mmvq_q4_0_q8_1",10584,754277939,71265.867252,8.03,62400,126720,4873.753491
"flambeau_dense_gemv_f16_f16",12096,623875205,51576.984540,6.64,7040,74400,3719.368188
"flambeau_indexed_moe_mmq_q4_0_gate_up_tile8_dp4a_q8_1",288,550253303,1910601.746528,5.86,1320798,2753919,307507.081269
"flambeau_mmvq_q5_k_r2_q8_1",9072,402167412,44330.623016,4.28,38560,90720,5512.733884
"flambeau_moe_sort_scatter_det",288,377581828,1311048.013889,4.02,729920,1656801,315069.726148
"flambeau_topk_softmax_f32",12384,321314613,25945.947432,3.42,19360,201760,17660.110339
"flambeau_dense_gemv_f16_f16_batched",288,302379282,1049928.062500,3.22,576960,1356959,267933.004750
"flambeau_p2p_allreduce_residual_tp2",12672,288307915,22751.571575,3.07,3680,563520,86088.074327
"flambeau_mmq_q4_0_4warp_lds_q8_1",720,286762806,398281.675000,3.05,165600,733760,168722.694642
"flambeau_mmq_q8_0_wave64_tile16_q8_1",1008,280378659,278153.431548,2.98,196319,374240,34151.134985
"flambeau_quantize_row_f16_q8_1",28728,232029850,8076.783974,2.47,2240,146400,18295.789295
"flambeau_mmvq_q4_0_gate_up_dp4a_q8_1",9072,227924574,25123.960979,2.43,21280,81280,3412.918220
"flambeau_indexed_moe_mmvq_q4_0_gate_up_dp4a_q8_1",12096,220897042,18261.990906,2.35,15360,71680,2339.944713
"flambeau_indexed_moe_mmq_q4_0_down_tile8_dp4a_q8_1",252,211538046,839436.690476,2.25,516480,1141118,181567.158382
"flambeau_cast_f32_f16",40392,207708256,5142.311745,2.21,1760,182080,11787.910236
"flambeau_rmsnorm_q8_1_fused",12225,176556927,14442.284417,1.88,10880,36640,1788.359276
"flambeau_mmq_q5_K_wave64_q8_1",216,174569557,808192.393519,1.86,472000,986399,183877.925321
"flambeau_attention_prefill_flash_tile_d256_br8_f16",72,164074034,2278806.027778,1.75,1051360,3163680,846290.804827
"flambeau_p2p_allreduce_residual_rmsnorm_tp2",12096,157493871,13020.326637,1.68,10080,36640,1520.421547
"flambeau_mmvq_q6_k_dp4a_q8_1",12225,145343006,11888.998446,1.55,6240,541120,44140.411735
"flambeau_swiglu_f32_to_q8_1",33264,144382356,4340.498918,1.54,2400,24160,678.269538
"flambeau_mmvq_q8_0_gate_up_t128_vdr2_q8_1",21168,138226678,6529.982899,1.47,4480,29120,1102.866801
"flambeau_indexed_moe_mmvq_q4_1_q8_1",1512,114831745,75946.921296,1.22,72640,118080,5312.137008
"__amd_rocclr_copyBuffer",25814,97231321,3766.611955,1.03,1760,80959,1968.803862
"flambeau_shared_expert_scale_f32",12384,85523172,6905.940891,0.9103,4320,73280,6882.330351
"flambeau_mmvq_q4_0_q8_1",6048,80317731,13280.048115,0.8549,8640,21760,3495.522332
"flambeau_l2_norm_f32",18576,75031020,4039.137597,0.7987,2560,23680,2263.585559
"flambeau_moe_combine_no_residual_f16",12384,67639981,5461.884771,0.7200,3040,101280,6314.847363
"flambeau_cast_f16_f32",12384,57070219,4608.383317,0.6075,1760,24480,1929.780822
"flambeau_rmsnorm_f16",6768,54183977,8005.906767,0.5768,2880,90400,13121.404530
"flambeau_rmsnorm_f32",9288,51091181,5500.773148,0.5438,3040,49120,5509.391985
"flambeau_mmq_q6_K_wave64_q8_1",288,47112141,163583.822917,0.5015,85920,218240,41152.199408
"flambeau_causal_conv1d_f32",9288,46968629,5056.915267,0.5000,2560,99840,6865.195439
"flambeau_add_f16",12384,45885103,3705.192426,0.4884,2240,21440,1986.560253
"flambeau_gdn_assemble_conv_input_f32",9072,37884154,4175.942901,0.4033,2080,23520,864.629624
"flambeau_silu_f32",9288,36189907,3896.415482,0.3852,1760,38240,4010.457092
"flambeau_indexed_moe_mmq_q4_1_down_tile8_dp4a_q8_1",36,31218861,867190.583333,0.3323,548800,1220639,181843.416449
"flambeau_scale_f32",9288,27488625,2959.584948,0.2926,1760,24480,1459.674829
"flambeau_moe_sort_scan_padded_offsets",288,26622223,92438.274306,0.2834,33279,136480,38909.317479
"flambeau_rope_neox_partial_f16",6192,25914546,4185.165698,0.2758,2400,20160,1593.015858
"flambeau_sigmoid_mul_f16",3096,20078229,6485.216085,0.2137,3200,114720,14408.531902
"flambeau_quantize_row_q8_1",216,18259197,84533.319444,0.1944,44480,108960,23218.915753
"flambeau_attention_decode_f16_splitk_combine",3024,16419192,5429.626984,0.1748,4480,6560,282.580654
"flambeau_split_q_gate_f16",3096,16108474,5202.995478,0.1715,1920,64320,7157.757317
"flambeau_mmvq_q4_0_kv_f16dst_dp4a_q8_1",3024,14608478,4830.845899,0.1555,3680,7040,420.445977
"flambeau_moe_sort_scan_offsets",288,13106075,45507.204861,0.1395,35680,58720,3198.087612
"flambeau_quantize_f16_q8_1_mmq",360,8642720,24007.555556,0.0920,13120,36320,5784.615754
"flambeau_moe_sort_pad_copy",288,8622558,29939.437500,0.0918,19520,40480,5358.702113
"flambeau_swiglu_f32_to_f16",576,7008949,12168.314236,0.0746,4320,25440,7528.382585
"flambeau_gdn_split_qkv_f32",216,6092960,28208.148148,0.0649,16960,40960,6117.188007
"flambeau_quantize_q8_1_mmq",216,5040320,23334.814815,0.0537,13120,28640,5813.607371
"flambeau_swiglu_f32",216,3908479,18094.810185,0.0416,12000,54080,4513.623813
"flambeau_moe_sort_zero_counts",288,1488479,5168.329861,0.0158,4480,6400,268.913012
"flambeau_moe_sort_count",288,1481919,5145.552083,0.0158,4320,6240,276.427957
