"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"flambeau_mmq_q4_0_wave64_q8_1",91,157278156,1728331.384615,17.96,1023042,3237126,644999.870875
"flambeau_indexed_moe_mmvq_q8_0_dp4a_q8_1",10,122986618,12298661.800000,14.05,62880,24556492,12893472.145168
"flambeau_dense_gemv_f32_f16",20520,100727839,4908.764084,11.50,4160,3308806,23070.918065
"flambeau_indexed_moe_mmq_q4_0_gate_up_tile8_dp4a_q8_1",35,86530068,2472287.657143,9.88,2180164,2745125,172157.191092
"flambeau_indexed_moe_mmvq_q4_0_q8_1",125,81675563,653404.504000,9.33,21600,7975843,2103010.843561
"flambeau_gdn_state_step_f32_s128",60,57743289,962388.150000,6.59,12640,2130884,927397.488494
"flambeau_mmq_q8_0_wave64_tile16_q8_1",154,50319918,326752.714286,5.75,129600,1265443,287658.131957
"flambeau_mmq_q6_K_wave64_q8_1",5,43096075,8619215.000000,4.92,6319052,17669794,5059628.246373
"flambeau_attention_prefill_flash_tile_d256_f16",10,39163107,3916310.700000,4.47,3252326,9823379,2075541.092634
"flambeau_indexed_moe_mmq_q4_0_down_tile8_dp4a_q8_1",35,37887747,1082507.057143,4.33,1027682,1133921,28984.837396
"flambeau_quantize_row_f16_q8_1",420,19064344,45391.295238,2.18,2560,180960,51723.478224
"flambeau_mmq_q5_0_wave64_q8_1",60,14623066,243717.766667,1.67,138560,4231848,524225.823596
"flambeau_cast_f32_f16",460,8185611,17794.806522,0.9348,1920,169600,27658.175152
"__amd_rocclr_copyBuffer",1503,7412012,4931.478377,0.8465,2720,42241,5512.151258
"flambeau_rmsnorm_f16",200,5390886,26954.430000,0.6156,4160,63840,20075.680755
"flambeau_quantize_row_q8_1",60,4897768,81629.466667,0.5593,2720,183680,77866.280275
"flambeau_swiglu_f32",220,3397128,15441.490909,0.3880,2240,107520,16021.806350
"flambeau_causal_conv1d_f32",60,3032485,50541.416667,0.3463,4640,109280,46060.600628
"flambeau_topk_softmax_f32",80,2512807,31410.087500,0.2870,14560,57920,14925.747810
"flambeau_rmsnorm_f32",60,2329605,38826.750000,0.2660,3520,81920,34299.889675
"flambeau_mmvq_q4_0_q8_1",91,2306884,25350.373626,0.2634,14560,60000,9653.521851
"flambeau_l2_norm_f32",120,2172801,18106.675000,0.2481,2880,35840,13465.583111
"flambeau_moe_combine_f16",80,2062724,25784.050000,0.2356,4960,84640,21373.575491
"flambeau_mmvq_q8_0_dp4a_vdr2_q8_1",154,1816481,11795.331169,0.2074,4640,53121,13685.820553
"flambeau_gdn_split_qkv_f32",60,1776164,29602.733333,0.2028,4480,60160,24743.245240
"flambeau_shared_expert_scale_f32",80,1768002,22100.025000,0.2019,4960,58880,18369.592459
"flambeau_silu_f32",60,1725923,28765.383333,0.1971,4640,60320,23907.994757
"flambeau_split_q_gate_f16",20,1709287,85464.350000,0.1952,4800,350081,93723.652822
"flambeau_mmvq_q6_k_dp4a_q8_1",7,1598403,228343.285714,0.1825,32160,780641,336153.311226
"flambeau_quantize_f16_q8_1_mmq",100,1547203,15472.030000,0.1767,2560,52801,12262.327547
"flambeau_add_f16",160,1511843,9449.018750,0.1727,2080,30560,5564.880414
"flambeau_quantize_q8_1_mmq",60,1403523,23392.050000,0.1603,2400,46080,19158.509607
"flambeau_mmvq_q5_0_q8_1",60,1211040,20184.000000,0.1383,5440,57280,20423.328901
"flambeau_cast_f16_f32",80,775202,9690.025000,0.0885,1920,30080,5598.805255
"flambeau_moe_sort_scan_offsets",35,704162,20118.914286,0.0804,19680,23040,739.700272
"flambeau_moe_sort_scan_padded_offsets",35,659682,18848.057143,0.0753,18400,21600,701.503635
"flambeau_scale_f32",60,572001,9533.350000,0.0653,1920,16800,5593.409238
"flambeau_moe_sort_pad_copy",35,482080,13773.714286,0.0551,13120,16160,655.542370
"flambeau_rope_neox_partial_f16",40,451681,11292.025000,0.0516,3360,31040,9715.578789
"flambeau_sigmoid_mul_f16",20,339360,16968.000000,0.0388,2720,51840,14820.478577
"flambeau_gdn_alpha_beta_f32",60,257760,4296.000000,0.0294,2240,7040,803.963065
"flambeau_moe_sort_scatter",35,153600,4388.571429,0.0175,4160,5120,210.002001
"flambeau_moe_sort_count",35,152480,4356.571429,0.0174,4160,4960,155.638020
"flambeau_moe_sort_zero_counts",35,152160,4347.428571,0.0174,4160,5120,192.022408
"flambeau_attention_prefill_f16",10,63680,6368.000000,7.272e-03,5440,7680,761.005183
"flambeau_rmsnorm_q8_1_fused",2,28320,14160.000000,3.234e-03,13280,15040,1244.507935
