"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"flambeau_indexed_moe_mmvq_q8_0_dp4a_q8_1",240,1621577912,6756574.633333,76.99,21600,24780536,8750789.426098
"flambeau_mmq_q8_0_wave64_tile16_q8_1",310,211362754,681815.335484,10.03,129601,3097286,684726.817266
"flambeau_dense_gemv_f32_f16",20520,97433595,4748.225877,4.63,4160,16160,365.694714
"flambeau_gdn_state_step_f32_s128",60,58606176,976769.600000,2.78,12640,2149444,939137.863910
"flambeau_attention_prefill_flash_tile_d256_f16",10,32622138,3262213.800000,1.55,3250406,3280487,9322.692468
"flambeau_quantize_row_f16_q8_1",420,19691231,46883.883333,0.9349,2560,183040,55021.067207
"flambeau_cast_f32_f16",460,10276015,22339.163043,0.4879,1920,192641,40026.880220
"__amd_rocclr_copyBuffer",1503,7403687,4925.939454,0.3515,2560,42080,5529.904237
"flambeau_mmvq_q8_0_dp4a_vdr2_q8_1",312,7062899,22637.496795,0.3353,4640,918082,68658.286604
"flambeau_rmsnorm_f16",200,5292329,26461.645000,0.2513,4000,60480,20085.394137
"flambeau_quantize_row_q8_1",60,5151691,85861.516667,0.2446,2720,182720,81250.629577
"flambeau_swiglu_f32",220,4447370,20215.318182,0.2111,2080,127680,29304.247968
"flambeau_causal_conv1d_f32",60,3025763,50429.383333,0.1437,4640,108160,45990.757752
"flambeau_topk_softmax_f32",80,2480487,31006.087500,0.1178,14240,47840,14866.005193
"flambeau_rmsnorm_f32",60,2438081,40634.683333,0.1158,3840,82241,35833.989713
"flambeau_l2_norm_f32",120,2176170,18134.750000,0.1033,3200,35200,13308.099455
"flambeau_moe_combine_f16",80,1959683,24496.037500,0.0930,4800,44640,19262.628732
"flambeau_gdn_split_qkv_f32",60,1765283,29421.383333,0.0838,4320,59200,24598.227967
"flambeau_silu_f32",60,1714562,28576.033333,0.0814,4800,60160,23795.944370
"flambeau_split_q_gate_f16",20,1521763,76088.150000,0.0722,4800,154560,72970.724899
"flambeau_quantize_f16_q8_1_mmq",100,1513602,15136.020000,0.0719,2560,41760,11888.739133
"flambeau_add_f16",160,1512482,9453.012500,0.0718,2080,15520,5161.603250
"flambeau_quantize_q8_1_mmq",60,1443522,24058.700000,0.0685,2880,48000,19696.485164
"flambeau_shared_expert_scale_f32",80,1376164,17202.050000,0.0653,5120,59041,14380.202983
"flambeau_cast_f16_f32",80,751521,9394.012500,0.0357,2080,15040,4799.349868
"flambeau_scale_f32",60,590400,9840.000000,0.0280,2400,16640,5125.124554
"flambeau_rope_neox_partial_f16",40,434401,10860.025000,0.0206,3360,28160,9741.914782
"flambeau_sigmoid_mul_f16",20,313120,15656.000000,0.0149,2720,28960,12853.915398
"flambeau_gdn_alpha_beta_f32",60,272640,4544.000000,0.0129,2400,6560,590.785745
"flambeau_attention_prefill_f16",10,58400,5840.000000,2.773e-03,5120,6240,414.835978
"flambeau_rmsnorm_q8_1_fused",2,28320,14160.000000,1.345e-03,13120,15200,1470.782105
