"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"flambeau_mmq_q4_1_4warp_lds_q8_1",352,489280779,1390002.213068,50.56,348480,2150719,551464.627711
"flambeau_p2p_allreduce_residual_tp2",192,100075034,521224.135417,10.34,4480,826880,366420.728810
"flambeau_mmq_q5_K_wave64_q8_1",48,88083991,1835083.145833,9.10,1669599,1928159,49402.749026
"flambeau_gdn_state_step_alphabeta_f32_s128",96,78168315,814253.281250,8.08,46240,1677919,766731.089877
"flambeau_mmq_q8_0_wave64_tile16_q8_1",96,54048156,563001.625000,5.59,399841,690560,86910.422692
"flambeau_quantize_row_f16_q8_1",352,46439511,131930.428977,4.80,2400,352320,119586.871261
"flambeau_attention_prefill_flash_tile_d256_br8_f16",16,17510880,1094430.000000,1.81,1048639,1127520,20552.200872
"flambeau_cast_f32_f16",352,14230237,40426.809659,1.47,1920,135360,49706.405303
"flambeau_quantize_f16_q8_1_mmq",208,11858877,57013.831731,1.23,24479,108320,18324.633779
"__amd_rocclr_copyBuffer",2646,10799362,4081.391534,1.12,2080,40160,2957.171039
"flambeau_swiglu_f32_to_f16",128,9213115,71977.460938,0.9521,4320,176480,67975.907781
"flambeau_rmsnorm_f16",192,8288000,43166.666667,0.8565,3200,70400,22426.256204
"flambeau_quantize_row_q8_1",96,4884802,50883.354167,0.5048,3040,105440,46469.362625
"flambeau_mmvq_q4_1_t128_q8_1",224,4694558,20957.848214,0.4851,5280,33760,8567.270603
"flambeau_mmvq_q4_1_gate_up_dp4a_q8_1",64,4011838,62684.968750,0.4146,55840,77279,3641.738696
"flambeau_causal_conv1d_f32",96,2797760,29143.333333,0.2891,2880,62400,24881.896470
"flambeau_mmvq_q6_k_dp4a_q8_1",2,2789599,1394799.500000,0.2883,1315359,1474240,112345.832502
"flambeau_mmvq_q5_k_r2_q8_1",48,2682081,55876.687500,0.2772,49600,58080,2406.970172
"flambeau_rmsnorm_f32",96,2408482,25088.354167,0.2489,3680,48960,20447.096477
"flambeau_l2_norm_f32",192,2177919,11343.328125,0.2251,2720,23360,7808.156534
"flambeau_silu_f32",96,1683041,17531.677083,0.1739,1920,38560,14213.895126
"flambeau_sigmoid_mul_f16",32,1672800,52275.000000,0.1729,2240,113760,50737.690768
"flambeau_rmsnorm_q8_1_fused",66,1569600,23781.818182,0.1622,19360,27200,1696.681747
"flambeau_gdn_split_qkv_f32",48,1566239,32629.979167,0.1619,30400,38720,1228.079810
"flambeau_swiglu_f32",96,1346722,14028.354167,0.1392,2240,24160,9345.748182
"flambeau_quantize_q8_1_mmq",48,1280801,26683.354167,0.1324,24960,28800,663.594675
"flambeau_p2p_allreduce_residual_rmsnorm_tp2",64,1249600,19525.000000,0.1291,16800,36000,2776.550332
"flambeau_split_q_gate_f16",32,1034880,32340.000000,0.1069,3840,63840,28067.259310
"flambeau_scale_f32",96,563840,5873.333333,0.0583,1760,9760,3564.950628
"flambeau_rope_neox_partial_f16",64,527520,8242.500000,0.0545,2880,18240,5547.105637
"flambeau_mmvq_q8_0_gate_up_t128_vdr2_q8_1",48,401440,8363.333333,0.0415,7040,9440,515.286879
"flambeau_gdn_assemble_conv_input_f32",48,224640,4680.000000,0.0232,2720,5760,504.347061
"flambeau_attention_decode_f16",16,87200,5450.000000,9.012e-03,4480,6240,476.319221
